@relation itdoesntmatter-weka.filters.unsupervised.attribute.Remove-R8-221

@attribute line_number numeric
@attribute num_words numeric
@attribute median_word_length numeric
@attribute mean_word_length numeric
@attribute journal_name {arxiv,jdm,plos}
@attribute expert_annotator numeric
@attribute section_name {abstract,introduction}
@attribute AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH1 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH2 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH3 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH4 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH5 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH6 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH7 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH8 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH9 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH10 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH11 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH12 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH13 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH14 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH15 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH16 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH17 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH18 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH19 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH0AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH1AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH2AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH3AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH4AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH5AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH6AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH7AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH8AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH9AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH10AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH11AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH12AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH13AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH14AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH15AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH16AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH17AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH18AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH19AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute class_label {AIM,BASE,CONT,OWN,MISC}

@data
21,15,5,5.266667,arxiv,0,introduction,ADP,ADJ,.,ADJ,NOUN,NOUN,VERB,VERB,ADJ,NOUN,CONJ,NOUN,ADV,ADV,ADP,NOUN,?,?,?,?,?,?,?,?,NOUN,ADP,ADV,ADV,NOUN,CONJ,NOUN,ADJ,VERB,VERB,NOUN,NOUN,ADJ,.,ADJ,ADP,OWN
22,38,4,4.815789,arxiv,0,introduction,DET,NOUN,NOUN,ADV,ADP,DET,NOUN,VERB,NOUN,.,DET,VERB,VERB,ADJ,PRT,VERB,.,.,ADP,NOUN,NOUN,ADP,.,.,VERB,PRT,ADJ,VERB,VERB,DET,.,NOUN,VERB,NOUN,DET,ADP,ADV,NOUN,NOUN,DET,MISC
23,61,4,4.655738,arxiv,0,introduction,DET,ADJ,NOUN,ADP,DET,NOUN,VERB,PRT,VERB,DET,NOUN,ADP,NOUN,DET,.,ADJ,.,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,.,ADJ,.,DET,NOUN,ADP,NOUN,DET,VERB,PRT,VERB,NOUN,DET,ADP,NOUN,ADJ,DET,AIM
24,36,4,4.694444,arxiv,0,introduction,DET,ADJ,NOUN,PRON,VERB,VERB,ADP,ADJ,NOUN,NOUN,CONJ,ADJ,ADJ,NOUN,NOUN,VERB,VERB,ADV,NOUN,NOUN,NOUN,NOUN,ADV,VERB,VERB,NOUN,NOUN,ADJ,ADJ,CONJ,NOUN,NOUN,ADJ,ADP,VERB,VERB,PRON,NOUN,ADJ,DET,OWN
25,33,4,4.424242,arxiv,0,introduction,PRON,VERB,DET,NOUN,NOUN,ADP,NOUN,ADP,DET,NOUN,ADP,ADJ,NOUN,ADJ,NOUN,NOUN,NOUN,ADP,VERB,VERB,VERB,VERB,ADP,NOUN,NOUN,NOUN,ADJ,NOUN,ADJ,ADP,NOUN,DET,ADP,NOUN,ADP,NOUN,NOUN,DET,VERB,PRON,OWN
26,26,4,4.846154,arxiv,0,introduction,DET,NOUN,NOUN,VERB,ADJ,ADP,NOUN,VERB,NOUN,ADV,ADV,CONJ,ADP,ADV,ADJ,NOUN,.,ADP,DET,NOUN,NOUN,DET,ADP,.,NOUN,ADJ,ADV,ADP,CONJ,ADV,ADV,NOUN,VERB,NOUN,ADP,ADJ,VERB,NOUN,NOUN,DET,OWN
27,17,3,4.235294,arxiv,0,introduction,DET,NOUN,NOUN,VERB,DET,ADJ,ADP,ADV,ADV,ADJ,NOUN,DET,NOUN,NOUN,ADV,ADV,ADJ,?,?,?,?,?,?,ADJ,ADV,ADV,NOUN,NOUN,DET,NOUN,ADJ,ADV,ADV,ADP,ADJ,DET,VERB,NOUN,NOUN,DET,OWN
28,27,4,4.62963,arxiv,0,introduction,PRON,VERB,ADP,VERB,DET,NOUN,NOUN,VERB,DET,ADJ,NOUN,NOUN,NOUN,.,ADP,PRON,VERB,PRT,DET,NOUN,NOUN,DET,PRT,VERB,PRON,ADP,.,NOUN,NOUN,NOUN,ADJ,DET,VERB,NOUN,NOUN,DET,VERB,ADP,VERB,PRON,OWN
29,26,4,5.153846,arxiv,0,introduction,ADP,NOUN,.,PRON,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,ADP,DET,NOUN,.,ADJ,NOUN,.,NOUN,NOUN,.,NOUN,ADJ,.,NOUN,DET,ADP,VERB,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,ADJ,PRON,.,NOUN,ADP,OWN
30,16,5,5.375,arxiv,0,introduction,ADP,NOUN,.,ADP,VERB,DET,ADJ,NOUN,PRT,NOUN,.,PRON,ADV,VERB,NOUN,ADP,NOUN,NOUN,?,?,?,?,NOUN,NOUN,ADP,NOUN,VERB,ADV,PRON,.,NOUN,PRT,NOUN,ADJ,DET,VERB,ADP,.,NOUN,ADP,OWN
31,20,4,5,arxiv,0,introduction,PRT,VERB,PRON,ADJ,PRT,ADJ,NOUN,.,PRON,VERB,PRT,VERB,PRON,PRT,ADJ,NOUN,CONJ,VERB,ADJ,NOUN,NOUN,ADJ,VERB,CONJ,NOUN,ADJ,PRT,PRON,VERB,PRT,VERB,PRON,.,NOUN,ADJ,PRT,ADJ,PRON,VERB,PRT,OWN
32,29,5,5.724138,arxiv,0,introduction,ADP,NOUN,PRON,VERB,NOUN,NOUN,ADP,DET,NOUN,NOUN,ADP,DET,ADJ,NOUN,ADP,ADJ,NOUN,.,DET,VERB,VERB,DET,.,NOUN,ADJ,ADP,NOUN,ADJ,DET,ADP,NOUN,NOUN,DET,ADP,NOUN,NOUN,VERB,PRON,NOUN,ADP,OWN
33,42,4.5,5.071429,arxiv,0,introduction,ADP,NOUN,PRON,VERB,ADJ,NOUN,PRT,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,ADP,ADJ,NOUN,CONJ,ADV,.,CONJ,CONJ,.,ADV,CONJ,NOUN,ADJ,ADP,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,PRT,NOUN,ADJ,VERB,PRON,NOUN,ADP,OWN
34,11,4,3.818182,arxiv,0,introduction,ADP,DET,NOUN,PRON,ADV,VERB,ADP,DET,NOUN,ADP,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,ADP,NOUN,DET,ADP,VERB,ADV,PRON,NOUN,DET,ADP,OWN
35,11,6,5.727273,arxiv,0,introduction,NOUN,VERB,ADJ,NOUN,.,PRT,VERB,VERB,ADP,ADP,DET,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,DET,ADP,ADP,VERB,VERB,PRT,.,NOUN,ADJ,VERB,NOUN,OWN
0,12,4,5.833333,arxiv,1,abstract,PRON,VERB,DET,ADJ,NOUN,ADP,NOUN,NOUN,ADP,NOUN,CONJ,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,CONJ,NOUN,ADP,NOUN,NOUN,ADP,NOUN,ADJ,DET,VERB,PRON,AIM
1,37,4,5.567568,arxiv,1,abstract,ADJ,NOUN,NOUN,VERB,VERB,ADP,DET,NOUN,CONJ,NOUN,CONJ,NOUN,NOUN,NOUN,.,NOUN,DET,NOUN,ADP,NOUN,NOUN,ADP,NOUN,DET,NOUN,.,NOUN,NOUN,NOUN,CONJ,NOUN,CONJ,NOUN,DET,ADP,VERB,VERB,NOUN,NOUN,ADJ,MISC
2,12,4,4.75,arxiv,1,abstract,NOUN,NOUN,VERB,DET,NOUN,ADJ,.,NOUN,ADP,NOUN,NOUN,ADP,NOUN,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,NOUN,ADP,NOUN,NOUN,ADP,NOUN,.,ADJ,NOUN,DET,VERB,NOUN,NOUN,MISC
3,15,4,4.2,arxiv,1,abstract,DET,ADV,ADJ,NOUN,VERB,VERB,ADV,NOUN,NOUN,ADV,ADP,DET,ADV,ADJ,NUM,?,?,?,?,?,?,?,?,?,?,NUM,ADJ,ADV,DET,ADP,ADV,NOUN,NOUN,ADV,VERB,VERB,NOUN,ADJ,ADV,DET,MISC
4,13,4,4.692308,arxiv,1,abstract,ADP,NOUN,.,ADV,ADJ,NOUN,.,VERB,ADJ,PRT,VERB,PRON,VERB,ADV,ADJ,NOUN,?,?,?,?,?,?,?,?,NOUN,ADJ,ADV,VERB,PRON,VERB,PRT,ADJ,VERB,.,NOUN,ADJ,ADV,.,NOUN,ADP,MISC
5,27,4,4.37037,arxiv,1,abstract,PRON,VERB,DET,NOUN,NOUN,ADP,NOUN,ADP,DET,NOUN,ADP,ADJ,NOUN,ADJ,NOUN,NOUN,NOUN,ADP,VERB,VERB,VERB,VERB,ADP,NOUN,NOUN,NOUN,ADJ,NOUN,ADJ,ADP,NOUN,DET,ADP,NOUN,ADP,NOUN,NOUN,DET,VERB,PRON,OWN
6,13,4,5.230769,arxiv,1,abstract,PRON,VERB,VERB,DET,NOUN,NOUN,NOUN,DET,VERB,ADJ,NOUN,NOUN,.,NOUN,.,?,?,?,?,?,?,?,?,?,?,.,NOUN,.,NOUN,NOUN,ADJ,VERB,DET,NOUN,NOUN,NOUN,DET,VERB,VERB,PRON,OWN
7,20,4,5.5,arxiv,1,abstract,ADP,ADJ,ADJ,NOUN,NOUN,NOUN,.,NOUN,.,NOUN,.,NOUN,NOUN,.,NOUN,ADV,VERB,ADP,DET,NOUN,NOUN,DET,ADP,VERB,ADV,NOUN,.,NOUN,NOUN,.,NOUN,.,NOUN,.,NOUN,NOUN,NOUN,ADJ,ADJ,ADP,CONT
8,18,4.5,5.111111,arxiv,1,abstract,PRON,VERB,ADP,DET,ADJ,NOUN,NOUN,.,CONJ,VERB,ADV,ADJ,PRT,DET,ADJ,NOUN,.,ADP,NOUN,?,?,NOUN,ADP,.,NOUN,ADJ,DET,PRT,ADJ,ADV,VERB,CONJ,.,NOUN,NOUN,ADJ,DET,ADP,VERB,PRON,CONT
9,27,5,5.259259,arxiv,1,abstract,ADP,DET,NOUN,PRON,VERB,.,NOUN,.,CONJ,VERB,NOUN,.,NOUN,PRON,ADP,ADJ,NOUN,NOUN,.,ADP,ADP,.,NOUN,NOUN,ADJ,ADP,PRON,NOUN,.,NOUN,VERB,CONJ,.,NOUN,.,VERB,PRON,NOUN,DET,ADP,OWN
10,37,4,5,arxiv,1,introduction,NOUN,DET,NOUN,CONJ,NOUN,NOUN,ADP,DET,PRON,VERB,PRT,VERB,DET,ADJ,NOUN,NOUN,ADP,NOUN,NOUN,.,.,NOUN,NOUN,ADP,NOUN,NOUN,ADJ,DET,VERB,PRT,VERB,PRON,DET,ADP,NOUN,NOUN,CONJ,NOUN,DET,NOUN,MISC
11,39,5,4.769231,arxiv,1,introduction,NUM,VERB,VERB,NOUN,NOUN,ADV,.,NOUN,NOUN,DET,NOUN,VERB,ADP,DET,NOUN,ADJ,NOUN,.,NOUN,.,.,NOUN,.,NOUN,ADJ,NOUN,DET,ADP,VERB,NOUN,DET,NOUN,NOUN,.,ADV,NOUN,NOUN,VERB,VERB,NUM,MISC
12,21,4,4.380952,arxiv,1,introduction,ADP,DET,NOUN,NOUN,VERB,ADV,ADV,ADJ,.,NOUN,NOUN,DET,NOUN,ADP,VERB,ADJ,NOUN,NOUN,.,DET,DET,.,NOUN,NOUN,ADJ,VERB,ADP,NOUN,DET,NOUN,NOUN,.,ADJ,ADV,ADV,VERB,NOUN,NOUN,DET,ADP,MISC
13,14,5,4.857143,arxiv,1,introduction,PRON,VERB,VERB,PRT,VERB,DET,NOUN,NOUN,NOUN,NOUN,.,ADP,NOUN,CONJ,NOUN,?,?,?,?,?,?,?,?,?,?,NOUN,CONJ,NOUN,ADP,.,NOUN,NOUN,NOUN,NOUN,DET,VERB,PRT,VERB,VERB,PRON,MISC
14,30,5,4.7,arxiv,1,introduction,DET,NOUN,VERB,ADV,VERB,VERB,ADP,DET,NOUN,NOUN,.,ADP,DET,ADV,ADJ,DET,NOUN,.,ADJ,NOUN,NOUN,ADJ,.,NOUN,DET,ADJ,ADV,DET,ADP,.,NOUN,NOUN,DET,ADP,VERB,VERB,ADV,VERB,NOUN,DET,MISC
15,29,5,5.448276,arxiv,1,introduction,DET,NOUN,VERB,VERB,VERB,.,ADP,DET,ADJ,NOUN,VERB,VERB,VERB,.,PRON,VERB,ADV,VERB,ADJ,NOUN,NOUN,ADJ,VERB,ADV,VERB,PRON,.,VERB,VERB,VERB,NOUN,ADJ,DET,ADP,.,VERB,VERB,VERB,NOUN,DET,MISC
16,13,5,5.384615,arxiv,1,introduction,NOUN,VERB,NOUN,ADP,DET,NOUN,ADP,NOUN,ADP,ADJ,NOUN,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,NOUN,ADJ,ADP,NOUN,ADP,NOUN,DET,ADP,NOUN,VERB,NOUN,MISC
17,13,5,5.615385,arxiv,1,introduction,VERB,VERB,VERB,NOUN,NOUN,NOUN,VERB,VERB,DET,NOUN,NOUN,ADP,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,ADP,NOUN,NOUN,DET,VERB,VERB,NOUN,NOUN,NOUN,VERB,VERB,VERB,MISC
18,14,4,5.071429,arxiv,1,introduction,DET,ADV,ADJ,NOUN,VERB,VERB,VERB,ADP,VERB,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,NOUN,?,?,?,?,?,?,?,?,NOUN,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,VERB,ADP,VERB,VERB,VERB,NOUN,ADJ,ADV,DET,MISC
19,26,4.5,5.115385,arxiv,1,introduction,ADP,NOUN,PRT,DET,NOUN,NOUN,NOUN,.,NUM,VERB,PRT,VERB,DET,NOUN,NOUN,NOUN,.,NOUN,ADP,DET,DET,ADP,NOUN,.,NOUN,NOUN,NOUN,DET,VERB,PRT,VERB,NUM,.,NOUN,NOUN,NOUN,DET,PRT,NOUN,ADP,MISC
20,25,6,5.24,arxiv,1,introduction,NOUN,VERB,NOUN,.,NOUN,NOUN,NOUN,NOUN,NOUN,ADV,VERB,NOUN,NOUN,NOUN,.,ADV,DET,NOUN,VERB,ADP,ADP,VERB,NOUN,DET,ADV,.,NOUN,NOUN,NOUN,VERB,ADV,NOUN,NOUN,NOUN,NOUN,NOUN,.,NOUN,VERB,NOUN,MISC
21,15,5,5.266667,arxiv,1,introduction,ADP,ADJ,.,ADJ,NOUN,NOUN,VERB,VERB,ADJ,NOUN,CONJ,NOUN,ADV,ADV,ADP,NOUN,?,?,?,?,?,?,?,?,NOUN,ADP,ADV,ADV,NOUN,CONJ,NOUN,ADJ,VERB,VERB,NOUN,NOUN,ADJ,.,ADJ,ADP,MISC
22,38,4,4.815789,arxiv,1,introduction,DET,NOUN,NOUN,ADV,ADP,DET,NOUN,VERB,NOUN,.,DET,VERB,VERB,ADJ,PRT,VERB,.,.,ADP,NOUN,NOUN,ADP,.,.,VERB,PRT,ADJ,VERB,VERB,DET,.,NOUN,VERB,NOUN,DET,ADP,ADV,NOUN,NOUN,DET,CONT
23,61,4,4.655738,arxiv,1,introduction,DET,ADJ,NOUN,ADP,DET,NOUN,VERB,PRT,VERB,DET,NOUN,ADP,NOUN,DET,.,ADJ,.,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,.,ADJ,.,DET,NOUN,ADP,NOUN,DET,VERB,PRT,VERB,NOUN,DET,ADP,NOUN,ADJ,DET,AIM
24,36,4,4.694444,arxiv,1,introduction,DET,ADJ,NOUN,PRON,VERB,VERB,ADP,ADJ,NOUN,NOUN,CONJ,ADJ,ADJ,NOUN,NOUN,VERB,VERB,ADV,NOUN,NOUN,NOUN,NOUN,ADV,VERB,VERB,NOUN,NOUN,ADJ,ADJ,CONJ,NOUN,NOUN,ADJ,ADP,VERB,VERB,PRON,NOUN,ADJ,DET,OWN
25,33,4,4.424242,arxiv,1,introduction,PRON,VERB,DET,NOUN,NOUN,ADP,NOUN,ADP,DET,NOUN,ADP,ADJ,NOUN,ADJ,NOUN,NOUN,NOUN,ADP,VERB,VERB,VERB,VERB,ADP,NOUN,NOUN,NOUN,ADJ,NOUN,ADJ,ADP,NOUN,DET,ADP,NOUN,ADP,NOUN,NOUN,DET,VERB,PRON,OWN
26,26,4,4.846154,arxiv,1,introduction,DET,NOUN,NOUN,VERB,ADJ,ADP,NOUN,VERB,NOUN,ADV,ADV,CONJ,ADP,ADV,ADJ,NOUN,.,ADP,DET,NOUN,NOUN,DET,ADP,.,NOUN,ADJ,ADV,ADP,CONJ,ADV,ADV,NOUN,VERB,NOUN,ADP,ADJ,VERB,NOUN,NOUN,DET,OWN
27,17,3,4.235294,arxiv,1,introduction,DET,NOUN,NOUN,VERB,DET,ADJ,ADP,ADV,ADV,ADJ,NOUN,DET,NOUN,NOUN,ADV,ADV,ADJ,?,?,?,?,?,?,ADJ,ADV,ADV,NOUN,NOUN,DET,NOUN,ADJ,ADV,ADV,ADP,ADJ,DET,VERB,NOUN,NOUN,DET,OWN
28,27,4,4.62963,arxiv,1,introduction,PRON,VERB,ADP,VERB,DET,NOUN,NOUN,VERB,DET,ADJ,NOUN,NOUN,NOUN,.,ADP,PRON,VERB,PRT,DET,NOUN,NOUN,DET,PRT,VERB,PRON,ADP,.,NOUN,NOUN,NOUN,ADJ,DET,VERB,NOUN,NOUN,DET,VERB,ADP,VERB,PRON,OWN
29,26,4,5.153846,arxiv,1,introduction,ADP,NOUN,.,PRON,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,ADP,DET,NOUN,.,ADJ,NOUN,.,NOUN,NOUN,.,NOUN,ADJ,.,NOUN,DET,ADP,VERB,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,ADJ,PRON,.,NOUN,ADP,CONT
30,16,5,5.375,arxiv,1,introduction,ADP,NOUN,.,ADP,VERB,DET,ADJ,NOUN,PRT,NOUN,.,PRON,ADV,VERB,NOUN,ADP,NOUN,NOUN,?,?,?,?,NOUN,NOUN,ADP,NOUN,VERB,ADV,PRON,.,NOUN,PRT,NOUN,ADJ,DET,VERB,ADP,.,NOUN,ADP,OWN
31,20,4,5,arxiv,1,introduction,PRT,VERB,PRON,ADJ,PRT,ADJ,NOUN,.,PRON,VERB,PRT,VERB,PRON,PRT,ADJ,NOUN,CONJ,VERB,ADJ,NOUN,NOUN,ADJ,VERB,CONJ,NOUN,ADJ,PRT,PRON,VERB,PRT,VERB,PRON,.,NOUN,ADJ,PRT,ADJ,PRON,VERB,PRT,OWN
32,29,5,5.724138,arxiv,1,introduction,ADP,NOUN,PRON,VERB,NOUN,NOUN,ADP,DET,NOUN,NOUN,ADP,DET,ADJ,NOUN,ADP,ADJ,NOUN,.,DET,VERB,VERB,DET,.,NOUN,ADJ,ADP,NOUN,ADJ,DET,ADP,NOUN,NOUN,DET,ADP,NOUN,NOUN,VERB,PRON,NOUN,ADP,OWN
33,42,4.5,5.071429,arxiv,1,introduction,ADP,NOUN,PRON,VERB,ADJ,NOUN,PRT,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,ADP,ADJ,NOUN,CONJ,ADV,.,CONJ,CONJ,.,ADV,CONJ,NOUN,ADJ,ADP,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,PRT,NOUN,ADJ,VERB,PRON,NOUN,ADP,OWN
34,11,4,3.818182,arxiv,1,introduction,ADP,DET,NOUN,PRON,ADV,VERB,ADP,DET,NOUN,ADP,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,ADP,NOUN,DET,ADP,VERB,ADV,PRON,NOUN,DET,ADP,OWN
35,11,6,5.727273,arxiv,1,introduction,NOUN,VERB,ADJ,NOUN,.,PRT,VERB,VERB,ADP,ADP,DET,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,DET,ADP,ADP,VERB,VERB,PRT,.,NOUN,ADJ,VERB,NOUN,OWN
0,22,6,5.909091,arxiv,0,abstract,PRON,VERB,DET,ADJ,NOUN,NOUN,NOUN,NOUN,DET,VERB,ADP,NOUN,ADP,DET,NOUN,ADP,NOUN,CONJ,DET,NOUN,NOUN,DET,CONJ,NOUN,ADP,NOUN,DET,ADP,NOUN,ADP,VERB,DET,NOUN,NOUN,NOUN,NOUN,ADJ,DET,VERB,PRON,AIM
1,27,5,4.962963,arxiv,0,abstract,PRT,VERB,DET,PRON,VERB,DET,NOUN,NOUN,ADP,DET,ADJ,NOUN,NOUN,CONJ,NOUN,DET,ADP,DET,ADJ,NOUN,NOUN,ADJ,DET,ADP,DET,NOUN,CONJ,NOUN,NOUN,ADJ,DET,ADP,NOUN,NOUN,DET,VERB,PRON,DET,VERB,PRT,OWN
2,17,5,5.294118,arxiv,0,abstract,PRON,ADV,DET,NOUN,PRT,NUM,NOUN,NOUN,NOUN,CONJ,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,?,?,?,?,?,?,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,CONJ,NOUN,NOUN,NOUN,NUM,PRT,NOUN,DET,ADV,PRON,AIM
3,16,3.5,4.1875,arxiv,0,introduction,NOUN,NOUN,VERB,DET,NOUN,ADP,VERB,NOUN,ADP,NOUN,ADP,DET,NOUN,ADP,NOUN,NOUN,?,?,?,?,?,?,?,?,NOUN,NOUN,ADP,NOUN,DET,ADP,NOUN,ADP,NOUN,VERB,ADP,NOUN,DET,VERB,NOUN,NOUN,MISC
4,22,4.5,5.5,arxiv,0,introduction,NOUN,NOUN,NOUN,DET,NOUN,ADP,DET,NOUN,NOUN,ADV,DET,NOUN,VERB,VERB,ADV,ADP,DET,NOUN,ADP,DET,DET,ADP,NOUN,DET,ADP,ADV,VERB,VERB,NOUN,DET,ADV,NOUN,NOUN,DET,ADP,NOUN,DET,NOUN,NOUN,NOUN,MISC
5,25,6,6.64,arxiv,0,introduction,DET,NOUN,NOUN,NOUN,NOUN,NUM,ADJ,NOUN,NOUN,VERB,DET,NOUN,NOUN,VERB,DET,NOUN,NOUN,NOUN,ADJ,NOUN,NOUN,ADJ,NOUN,NOUN,NOUN,DET,VERB,NOUN,NOUN,DET,VERB,NOUN,NOUN,ADJ,NUM,NOUN,NOUN,NOUN,NOUN,DET,MISC
6,33,5,5.333333,arxiv,0,introduction,ADP,ADJ,NOUN,VERB,VERB,ADP,DET,NOUN,ADP,NOUN,ADP,DET,ADJ,NOUN,ADJ,NOUN,NOUN,NOUN,ADV,DET,DET,ADV,NOUN,NOUN,NOUN,ADJ,NOUN,ADJ,DET,ADP,NOUN,ADP,NOUN,DET,ADP,VERB,VERB,NOUN,ADJ,ADP,MISC
7,42,6,5.214286,arxiv,0,introduction,PRON,VERB,NUM,ADJ,NOUN,ADP,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,PRON,VERB,ADV,VERB,DET,NOUN,NOUN,ADP,ADP,NOUN,NOUN,DET,VERB,ADV,VERB,PRON,NOUN,NOUN,NOUN,NOUN,NOUN,ADJ,ADP,NOUN,ADJ,NUM,VERB,PRON,CONT
8,17,4,5.705882,arxiv,0,introduction,PRON,NOUN,ADP,DET,NOUN,VERB,ADP,DET,NOUN,ADP,VERB,ADJ,NOUN,ADP,NOUN,NOUN,NOUN,?,?,?,?,?,?,NOUN,NOUN,NOUN,ADP,NOUN,ADJ,VERB,ADP,NOUN,DET,ADP,VERB,NOUN,DET,ADP,NOUN,PRON,AIM
9,8,7,6.25,arxiv,0,introduction,ADP,DET,NOUN,NOUN,VERB,PRT,ADJ,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,ADJ,PRT,VERB,NOUN,NOUN,DET,ADP,MISC
